"grid_id","long","lat","co1_genetic_diversity_mean","co1_sampled_species_richness"
1,-17174579,-7123536,0.00717054787604794,20
2,-16788679,-7123536,0.00717054787604794,20
3,-16402779,-7123536,0.00749869497999152,21
4,-16016879,-7123536,0.00749869497999152,21
5,-15630979,-7123536,0.00749869497999152,21
6,-15245079,-7123536,0.00749869497999152,21
7,-14859179,-7123536,0.00575986295053272,18
8,-14473279,-7123536,0.00616577985278025,19
9,-14087379,-7123536,0.00628639726480855,18
30,-5983479,-7123536,0.00490653660893959,17
31,-5597579,-7123536,0.00490653660893959,17
32,-5211679,-7123536,0.00490653660893959,17
33,-4825779,-7123536,0.00487852079846883,16
34,-4439879,-7123536,0.00487852079846883,16
35,-4053979,-7123536,0.00487852079846883,16
36,-3668079,-7123536,0.00487852079846883,16
37,-3282179,-7123536,0.00487852079846883,16
38,-2896279,-7123536,0.00487852079846883,16
39,-2510379,-7123536,0.00487852079846883,16
87,16012821,-7123536,0.00552483556399625,16
88,16398721,-7123536,0.00552483556399625,16
89,16784621,-7123536,0.00498587877987854,15
90,17170521,-7123536,0.00733901138442232,19
92,-17174579,-6737636,0.00774534488382137,28
93,-16788679,-6737636,0.00832529255353777,32
94,-16402779,-6737636,0.00849103129991281,31
95,-16016879,-6737636,0.0083254413047708,31
96,-15630979,-6737636,0.0083254413047708,31
97,-15245079,-6737636,0.00844234819411066,30
98,-14859179,-6737636,0.00844234819411066,30
99,-14473279,-6737636,0.00855038459902853,31
100,-14087379,-6737636,0.00911271580342038,28
101,-13701479,-6737636,0.00908716150376427,29
102,-13315579,-6737636,0.00925269413903205,28
103,-12929679,-6737636,0.00803301764256312,28
104,-12543779,-6737636,0.00803301764256312,28
105,-12157879,-6737636,0.00867763763140277,31
106,-11771979,-6737636,0.00902910911104333,31
107,-11386079,-6737636,0.00893818063239746,31
108,-11000179,-6737636,0.00893818063239746,31
109,-10614279,-6737636,0.00893818063239746,31
110,-10228379,-6737636,0.00891641467983556,26
111,-9842479,-6737636,0.00773443634572162,25
112,-9456579,-6737636,0.0076140072945751,28
113,-9070679,-6737636,0.00708278866791885,27
114,-8684779,-6737636,0.00681162697953034,29
115,-8298879,-6737636,0.0076821301895546,31
116,-7912979,-6737636,0.00791330054546148,31
117,-7527079,-6737636,0.00791330054546148,31
118,-7141179,-6737636,0.00781977920525954,32
119,-6755279,-6737636,0.00822598060790797,29
120,-6369379,-6737636,0.00690756926092232,26
121,-5983479,-6737636,0.00602182970451887,26
122,-5597579,-6737636,0.00610233160746214,26
123,-5211679,-6737636,0.00693359831796357,27
124,-4825779,-6737636,0.00542536354704079,23
125,-4439879,-6737636,0.00594333134234062,21
126,-4053979,-6737636,0.00607613491837717,20
127,-3668079,-6737636,0.00683674012164533,21
128,-3282179,-6737636,0.00690464102279924,20
129,-2896279,-6737636,0.00690464102279924,20
130,-2510379,-6737636,0.00690464102279924,20
131,-2124479,-6737636,0.00583442112176199,17
132,-1738579,-6737636,0.00583442112176199,17
133,-1352679,-6737636,0.00577280125302504,18
134,-966779,-6737636,0.00619729171211896,19
135,-580879,-6737636,0.00613868642793731,20
136,-194979,-6737636,0.00573161907241064,19
137,190921,-6737636,0.00573161907241064,19
138,576821,-6737636,0.00528230346269366,18
139,962721,-6737636,0.00528230346269366,18
140,1348621,-6737636,0.00528230346269366,18
141,1734521,-6737636,0.00528230346269366,18
142,2120421,-6737636,0.00807269364889453,18
143,2506321,-6737636,0.00807269364889453,18
144,2892221,-6737636,0.00807269364889453,18
145,3278121,-6737636,0.00849787301558473,18
146,3664021,-6737636,0.00829736297553085,17
147,4049921,-6737636,0.00837994745903301,18
148,4435821,-6737636,0.00823528195907842,19
149,4821721,-6737636,0.00823528195907842,19
151,5593521,-6737636,0.00805118324872272,20
152,5979421,-6737636,0.00805118324872272,20
153,6365321,-6737636,0.0076795070398777,20
154,6751221,-6737636,0.00816530388605256,22
155,7137121,-6737636,0.00833317387441799,21
156,7523021,-6737636,0.00796374743578913,20
157,7908921,-6737636,0.00775834288301846,20
158,8294821,-6737636,0.00787070332494365,19
159,8680721,-6737636,0.00774600242176851,18
166,11382021,-6737636,0.00867104593171623,19
167,11767921,-6737636,0.00804720673450363,18
172,13697421,-6737636,0.0083356077413786,19
173,14083321,-6737636,0.0083356077413786,19
174,14469221,-6737636,0.0083356077413786,19
175,14855121,-6737636,0.00953064116008286,22
176,15241021,-6737636,0.00933113000213411,21
177,15626921,-6737636,0.00709403802045513,21
178,16012821,-6737636,0.00736527332235488,21
179,16398721,-6737636,0.00709868483654183,23
180,16784621,-6737636,0.00785087927459374,25
181,17170521,-6737636,0.00803539635767412,24
183,-17174579,-6351736,0.00847253309952411,41
184,-16788679,-6351736,0.00845127493440909,40
185,-16402779,-6351736,0.0085254323426285,39
186,-16016879,-6351736,0.00846700774512115,38
187,-15630979,-6351736,0.00863122849972353,37
188,-15245079,-6351736,0.00846700774512115,38
189,-14859179,-6351736,0.00846700774512115,38
190,-14473279,-6351736,0.00847593667524681,38
191,-14087379,-6351736,0.00864038637677549,37
192,-13701479,-6351736,0.00899986040404626,38
193,-13315579,-6351736,0.00926840353413949,38
194,-12929679,-6351736,0.00901771985319664,37
195,-12543779,-6351736,0.00926840353413949,38
196,-12157879,-6351736,0.00909536924107385,39
197,-11771979,-6351736,0.0090690742609895,41
198,-11386079,-6351736,0.0090690742609895,41
199,-11000179,-6351736,0.0090690742609895,41
200,-10614279,-6351736,0.0090690742609895,41
201,-10228379,-6351736,0.00897036005771412,40
202,-9842479,-6351736,0.00872463549592883,39
203,-9456579,-6351736,0.00864330042734678,41
204,-9070679,-6351736,0.00855231754577966,42
205,-8684779,-6351736,0.00847382203623641,43
206,-8298879,-6351736,0.00858341476246921,45
207,-7912979,-6351736,0.00861819969771841,45
208,-7527079,-6351736,0.00839161270401052,43
209,-7141179,-6351736,0.00870235366718651,46
210,-6755279,-6351736,0.00823745795043808,61
211,-6369379,-6351736,0.0081074163880943,59
212,-5983479,-6351736,0.00815600033275052,52
213,-5597579,-6351736,0.00859177989590736,54
214,-5211679,-6351736,0.00868431349450714,50
215,-4825779,-6351736,0.00859185543467096,48
216,-4439879,-6351736,0.00814797989069976,42
217,-4053979,-6351736,0.00776151575845728,41
218,-3668079,-6351736,0.00750431305809018,40
219,-3282179,-6351736,0.0075929632651047,38
220,-2896279,-6351736,0.00780759784869725,38
221,-2510379,-6351736,0.00839701480570578,38
222,-2124479,-6351736,0.00807849265594929,34
223,-1738579,-6351736,0.00820678656392183,34
224,-1352679,-6351736,0.00832592065392416,32
225,-966779,-6351736,0.00834766697063778,32
226,-580879,-6351736,0.00713593610167582,29
227,-194979,-6351736,0.00636858570651931,26
228,190921,-6351736,0.00601083085012066,25
229,576821,-6351736,0.00912785561919689,33
230,962721,-6351736,0.00927510476605719,31
231,1348621,-6351736,0.00930589741934675,30
232,1734521,-6351736,0.00896406681221709,30
233,2120421,-6351736,0.00932572183696126,24
234,2506321,-6351736,0.00919489992005136,23
235,2892221,-6351736,0.00909896293568554,25
236,3278121,-6351736,0.00909896293568554,25
237,3664021,-6351736,0.0103046191299828,31
238,4049921,-6351736,0.0103046191299828,31
239,4435821,-6351736,0.0093520857052695,28
240,4821721,-6351736,0.00952082452009332,27
241,5207621,-6351736,0.00952082452009332,27
242,5593521,-6351736,0.00952082452009332,27
243,5979421,-6351736,0.00952082452009332,27
244,6365321,-6351736,0.00922766898712753,30
245,6751221,-6351736,0.00922766898712753,30
246,7137121,-6351736,0.00905126230505256,31
247,7523021,-6351736,0.00892923549021299,32
248,7908921,-6351736,0.00757275047766575,27
249,8294821,-6351736,0.00872197957941032,29
250,8680721,-6351736,0.0101433628825984,31
251,9066621,-6351736,0.0102988496010945,30
252,9452521,-6351736,0.0104728676658,28
253,9838421,-6351736,0.0104728676658,28
254,10224321,-6351736,0.00983258922117,32
255,10610221,-6351736,0.00988530199569264,33
256,10996121,-6351736,0.00988530199569264,33
257,11382021,-6351736,0.00988530199569264,33
258,11767921,-6351736,0.00988530199569264,33
259,12153821,-6351736,0.00963774077690295,32
260,12539721,-6351736,0.00878635964364378,31
261,12925621,-6351736,0.00913593513559342,30
262,13311521,-6351736,0.00948262096676986,37
263,13697421,-6351736,0.0100018134840117,33
264,14083321,-6351736,0.00985818892073841,34
265,14469221,-6351736,0.0089781740727938,39
266,14855121,-6351736,0.00925102715341131,42
267,15241021,-6351736,0.00922506990196156,47
268,15626921,-6351736,0.00892338612979054,52
269,16012821,-6351736,0.00919834673777828,48
270,16398721,-6351736,0.00925535064758381,48
271,16784621,-6351736,0.00839695435459132,46
272,17170521,-6351736,0.00834467417093475,45
274,-17174579,-5965836,0.00938689225300543,57
275,-16788679,-5965836,0.00839391177283549,54
276,-16402779,-5965836,0.00862391727838082,49
277,-16016879,-5965836,0.0085084702885356,48
278,-15630979,-5965836,0.00871015541718907,47
279,-15245079,-5965836,0.00873187662490514,48
280,-14859179,-5965836,0.00865484484017845,47
281,-14473279,-5965836,0.00866798898915815,49
282,-14087379,-5965836,0.00876070274612961,48
283,-13701479,-5965836,0.00882978441097592,48
284,-13315579,-5965836,0.00949842061943043,50
285,-12929679,-5965836,0.00953577874410099,49
286,-12543779,-5965836,0.00900593538573414,50
287,-12157879,-5965836,0.00907499394149677,49
288,-11771979,-5965836,0.00904549193477583,49
289,-11386079,-5965836,0.00891905561889468,49
290,-11000179,-5965836,0.00890135172274987,48
291,-10614279,-5965836,0.00936880638547681,50
292,-10228379,-5965836,0.00928724314202167,48
293,-9842479,-5965836,0.00936452571480024,47
294,-9456579,-5965836,0.00939279331097955,50
295,-9070679,-5965836,0.00937019602174455,53
296,-8684779,-5965836,0.00948775961370421,53
297,-8298879,-5965836,0.00964905289245765,53
298,-7912979,-5965836,0.00960915887343521,55
299,-7527079,-5965836,0.00860056538296076,82
300,-7141179,-5965836,0.00801507369460016,92
301,-6755279,-5965836,0.00844049850679122,101
302,-6369379,-5965836,0.00824943759229837,103
303,-5983479,-5965836,0.00910081150474993,96
304,-5597579,-5965836,0.00927577778833349,89
305,-5211679,-5965836,0.0096189121308031,73
306,-4825779,-5965836,0.00978490059890553,66
307,-4439879,-5965836,0.0094110286679482,60
308,-4053979,-5965836,0.0095409411488718,61
309,-3668079,-5965836,0.00944502528214574,58
310,-3282179,-5965836,0.00820301026690655,52
311,-2896279,-5965836,0.00786138124470557,48
312,-2510379,-5965836,0.00852696135903097,50
313,-2124479,-5965836,0.00852565189819592,48
314,-1738579,-5965836,0.00852178172113715,49
315,-1352679,-5965836,0.00852178172113715,49
316,-966779,-5965836,0.00852178172113715,49
317,-580879,-5965836,0.00859825261191295,48
318,-194979,-5965836,0.00870759770882229,47
319,190921,-5965836,0.00841457517778491,49
320,576821,-5965836,0.0083609612150153,48
321,962721,-5965836,0.00822890676379085,47
322,1348621,-5965836,0.00822890676379085,47
323,1734521,-5965836,0.00938262923132392,46
324,2120421,-5965836,0.00920702338095907,46
325,2506321,-5965836,0.00976675691645379,42
326,2892221,-5965836,0.0101452638998916,38
327,3278121,-5965836,0.0103188439371928,37
328,3664021,-5965836,0.0098054139406143,40
329,4049921,-5965836,0.00991046061720076,41
330,4435821,-5965836,0.00979566884426645,42
331,4821721,-5965836,0.00966895753820953,44
332,5207621,-5965836,0.00966895753820953,44
333,5593521,-5965836,0.0096833864157479,49
334,5979421,-5965836,0.00938418757905341,52
335,6365321,-5965836,0.00919236672052346,57
336,6751221,-5965836,0.00890896069666963,63
337,7137121,-5965836,0.00910606555564885,63
338,7523021,-5965836,0.00921059187737543,59
339,7908921,-5965836,0.00956170360424737,53
340,8294821,-5965836,0.0093700546994566,48
341,8680721,-5965836,0.0093769371543879,47
342,9066621,-5965836,0.0093769371543879,47
343,9452521,-5965836,0.00921573456588741,47
344,9838421,-5965836,0.00921573456588741,47
345,10224321,-5965836,0.00921573456588741,47
346,10610221,-5965836,0.00956688327927002,47
347,10996121,-5965836,0.00946265550743276,48
348,11382021,-5965836,0.00958124304040726,49
349,11767921,-5965836,0.00958124304040726,49
350,12153821,-5965836,0.00951398123943653,52
351,12539721,-5965836,0.00984664795665918,54
352,12925621,-5965836,0.00958330878060838,56
353,13311521,-5965836,0.00959183614362132,58
354,13697421,-5965836,0.0094438996429263,62
355,14083321,-5965836,0.00898956723107115,69
356,14469221,-5965836,0.00889162724831553,70
357,14855121,-5965836,0.00879913091690199,67
358,15241021,-5965836,0.00941025996556383,88
359,15626921,-5965836,0.008634371812087,86
360,16012821,-5965836,0.0105073307315473,119
