"species","genetic_diversity","sd","seq_count","variation"
"Ablabys binotatus",0.00249068013033141,0.000937234966411179,5,0.37629680142286
"Ablennes hians",0.0511938914692352,0.0298971016845835,19,0.583997442400918
"Abraliopsis tui",0.00152265340806444,0.0014087404459811,9,0.925187858589473
"Abudefduf abdominalis",0.00264107906602628,0.00195492892714843,4,0.74020083393027
"Abudefduf bengalensis",0.0135302464316429,0.0251782915523703,10,1.860889354793
"Abudefduf conformis",0.00246606523247745,0.000843481562362022,7,0.342035381405807
"Abudefduf notatus",0.00281419854383482,0.00197887071230192,7,0.703173810048731
"Abudefduf saxatilis",0.00251630842997394,0.00172493491944332,26,0.685502182044187
"Abudefduf septemfasciatus",0.00412259139814387,0.00351416434377719,37,0.852416357672357
"Abudefduf sexfasciatus",0.00950504056267116,0.00607958785561749,28,0.639617244716836
"Abudefduf sordidus",0.00460352750415643,0.00468573704274485,33,1.01785794448153
"Abudefduf sparoides",0.00292797663357259,0.00173379870110236,7,0.59214909068002
"Abudefduf troschelii",0.00217025751364134,0.00108763845705927,5,0.501156406658114
"Abudefduf vaigiensis",0.0116328279865627,0.0211055285892177,125,1.81430763126533
"Abudefduf whitleyi",0.00516015656202572,0.0044690836667308,4,0.866075207798806
"Acanthacaris tenuimana",0.046060985077824,0.041145540520449,5,0.893283989713422
"Acanthaluteres brownii",0.00205761316872428,0.000890972637638311,4,0.433012701892219
"Acanthaluteres spilomelanurus",0.0240915431023861,0.0339965123164394,8,1.4111388453599
"Acanthaluteres vittiger",0.0033015438602699,0.00206191755807145,22,0.624531323931251
"Acanthastrea echinata",0.0030009622396032,0.0030342123800572,12,1.01107982633543
"Acanthastrea hemprichii",0.00680123043811552,0.00632655188893003,4,0.930206959828137
"Acanthastrea hillae",0.00167665111670173,0.00110787663874836,6,0.660767542938654
"Acanthastrea maxima",0.00285891606327157,0.00246409275009733,5,0.861897549827881
"Acanthemblemaria aspera",0.00618505783776219,0.00279029830547327,28,0.451135361813015
"Acanthemblemaria betinensis",0.00679582391561726,0.00405069977708699,5,0.596057200331251
"Acanthemblemaria crockeri",0.0421316054466617,0.043394169187448,17,1.02996714052078
"Acanthemblemaria exilispinus",0.0207683677662022,0.0160922524264792,4,0.774844350198155
"Acanthemblemaria greenfieldi",0.00154826619912322,0.00169072305715131,21,1.09201057163733
"Acanthemblemaria hancocki",0.0206243914387938,0.0189876572132679,8,0.920640847494426
"Acanthemblemaria macrospilus",0.00282098281068785,0.00128729388161286,13,0.456328155115193
"Acanthemblemaria paula",0.0104320480754591,0.00564321976713723,5,0.540950322153195
"Acanthemblemaria rivasi",0.0322847439428311,0.0454620624633023,6,1.40815930099384
"Acanthemblemaria spinosa",0.0657685757467469,0.0359125058820754,43,0.546043539400375
"Acanthistius joanae",0.00329264496128243,0.00175348207285174,12,0.532545140296205
"Acanthochromis polyacanthus",0.0263695716559098,0.0137799705091896,5,0.522570889243144
"Acanthocybium solandri",0.00472350381519733,0.00343972178044409,55,0.728214036660071
"Acanthogobius flavimanus",0.000548812024821556,0.000806680537279437,6,1.469866731768
"Acantholabrus palloni",0.00248806669916037,0.00141149216741755,7,0.567304794479135
"Acanthopagrus arabicus",0.00266807802044761,0.00239162869381821,4,0.89638634083758
"Acanthopagrus australis",0.0330690937561167,0.0340151378796806,4,1.02860810551813
"Acanthopagrus berda",0.0371271868903941,0.0262576813254039,32,0.707235950919769
"Acanthopagrus bifasciatus",0.0144260115901456,0.0142333272901666,13,0.986643272898058
"Acanthopagrus butcheri",0.0442534033025746,0.0402000892107159,14,0.908406726051216
"Acanthopagrus latus",0.0384161066073835,0.044520459781968,64,1.15890088074181
