grid_id,ses.pd,marine_species_richness,co1_genetic_diversity_mean,kmeans_cluster,hcluster
687,0.110529019,0.217831173,0.642145184,6,2
688,0.120892521,0.221308884,0.619518387,6,2
720,0.147192197,0.310464749,0.722194871,6,3
726,0.083895905,0.219095795,0.635697091,6,2
778,0.098163195,0.236800506,0.64121103,6,2
781,0.447355929,0.332595637,0.698278155,4,4
802,0.29237816,0.254821372,0.754051271,6,3
812,0.184652049,0.436926968,0.705563572,6,3
813,0.493339667,0.29117926,0.752818197,4,4
814,0.508885288,0.277900727,0.756009814,4,4
817,0.074703005,0.226683528,0.614969822,6,2
828,0.641134599,0.177679418,0.799456202,4,4
829,0.642628535,0.177047107,0.80025997,4,4
852,0.129122606,0.216882706,0.657013852,6,2
873,0.683495431,0.478975656,0.804718968,4,4
893,0.176329182,0.355358837,0.726705121,6,3
903,0.219581497,0.500158078,0.715651451,6,3
904,0.440417592,0.322794815,0.740590303,4,4
905,0.490707202,0.283591527,0.746659258,4,4
906,0.341382388,0.226683528,0.700299554,6,3
907,0.335652552,0.226367373,0.707598243,6,3
918,0.824654953,0.165981663,0.782935673,4,4
919,0.783207808,0.205817262,0.812849807,4,4
920,0.64974451,0.180840974,0.795927185,4,4
923,0.851379507,0.192538729,0.758166858,4,4
924,0.790762665,0.174517863,0.768640803,4,4
925,0.572854724,0.148276952,0.750195621,4,4
944,0.113086958,0.239645906,0.632503137,6,2
964,0.810775861,0.551691432,0.854165446,4,4
965,0.672408676,0.46664559,0.871207519,4,4
966,0.656897022,0.519759722,0.84058703,4,4
967,0.635279893,0.537780588,0.835812419,2,4
968,0.636768296,0.488776478,0.818175596,4,4
994,0.36676018,0.554220677,0.759884579,2,4
995,0.32657116,0.221941195,0.70333232,6,3
997,0.340200684,0.238381284,0.728909745,6,3
998,0.351141385,0.231742017,0.737424479,6,3
1002,0.787372255,0.544419855,0.793160032,4,4
1003,0.80217695,0.441353146,0.768672272,4,4
1006,0.892824931,0.260512172,0.760895362,4,4
1007,0.893704116,0.261144483,0.762251559,4,4
1008,0.911460709,0.24502055,0.777094184,4,4
1009,0.877484831,0.241542839,0.787427977,4,4
1010,0.93714987,0.210875751,0.777577997,4,4
1011,0.913223097,0.266519127,0.787166537,4,4
1012,0.958532024,0.263673727,0.780619028,4,4
1013,1,0.239645906,0.776286325,4,4
1014,0.848717489,0.194119507,0.745750813,4,4
1015,0.778902977,0.176730952,0.76683727,4,4
1016,0.56444607,0.147960797,0.743502533,4,4
1036,0.125140728,0.272209927,0.633510665,6,3
1037,0.135865011,0.249446728,0.65248699,6,3
1056,0.609510796,0.534302877,0.867454541,2,4
1057,0.64413202,0.531773633,0.853379374,2,4
1059,0.645545668,0.5014227,0.841119426,4,4
1060,0.50784413,0.465064812,0.876275457,4,4
1061,0.506200473,0.460006323,0.869945897,4,4
